id,name,country
1,Amherst SC,US
2,Newmarket FSC,CA
3,King City Skating Club,US
4,Burlington Skating Centre,CA
5,Thomas Creek FSC,US
6,Bradford & District SC,CA
7,Amherst SC (NY),US
8,Strathroy SC,CA
9,Buffalo SC,US
10,SC of Western New York,US
11,East Gwillimbury SC,US
12,Forest Hill FSC,CA
13,Genesee FSC,US
14,Skate Oakville,CA
15,Brampton-Chinguacousy SC,CA
16,Niagara University SC,US
17,Woodbridge FSC,CA
18,Mariposa Winter Club,CA
19,Whitby FSC,CA
20,Granite Club,CA
21,North Toronto SC,CA
22,Markham SC,CA
23,Wasaga Beach FSC,CA
24,Nobleton SC,CA
25,Shaker FSC,US
26,Lakeshore Skating School (LTS USA),US
27,Skate Great,US
28,Jamestown SC,US
29,Scarboro FSC,CA
