event_id,skater_id,orderNumber
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
2,6,1
2,7,2
2,8,3
2,9,4
2,10,5
3,11,1
3,12,2
3,13,3
3,14,4
3,15,5
4,16,1
4,17,2
4,18,3
4,19,4
4,20,5
4,21,6
5,22,1
5,23,2
5,24,3
5,25,4
5,26,5
5,27,6
5,28,7
6,29,1
6,30,2
6,31,3
6,32,4
6,33,5
6,34,6
6,35,7
7,36,1
7,37,2
7,38,3
7,39,4
7,40,5
7,41,6
8,42,1
8,43,2
8,44,3
8,45,4
8,46,5
8,47,6
9,48,1
10,49,1
10,50,2
10,51,3
10,52,4
10,53,5
10,54,6
10,55,7
11,56,1
11,57,2
11,58,3
11,59,4
11,60,5
11,61,6
12,62,1
12,63,2
12,64,3
12,65,4
12,66,5
13,67,1
13,68,2
13,69,3
13,70,4
13,71,5
14,72,1
14,73,2
14,74,3
14,75,4
14,76,5
16,77,1
16,78,2
16,79,3
16,80,4
16,81,5
16,82,6
17,83,1
18,84,1
19,85,1
19,86,2
20,87,1
20,88,2
21,89,1
21,90,2
21,91,3
21,92,4
21,93,5
22,94,1
22,95,2
23,96,1
23,97,2
23,98,3
23,99,4
23,100,5
24,101,1
24,102,2
24,103,3
24,104,4
25,105,1
26,106,1
26,107,2
26,108,3
26,109,4
27,110,1
27,111,2
27,112,3
27,113,4
27,114,5
28,115,1
28,116,2
28,117,3
28,118,4
28,119,5
29,120,1
29,121,2
29,122,3
29,123,4
29,124,5
30,125,1
30,126,2
30,127,3
30,128,4
30,129,5
31,130,1
31,131,2
31,132,3
31,133,4
31,134,5
32,135,1
33,136,1
33,137,2
33,138,3
34,139,1
34,140,2
34,141,3
35,142,1
35,143,2
35,144,3
35,145,4
36,146,1
36,147,2
36,148,3
36,149,4
37,150,1
37,151,2
37,152,3
37,153,4
38,154,1
38,155,2
38,156,3
38,157,4
38,158,5
39,159,1
39,160,2
39,161,3
39,162,4
39,163,5
40,16,1
40,18,2
40,164,3
40,165,4
41,143,1
41,166,2
41,149,3
41,167,4
42,135,1
42,99,2
42,87,3
43,141,1
44,139,1
45,113,1
45,79,2
45,80,3
46,132,1
46,126,2
46,117,3
46,81,4
47,29,1
47,102,2
47,121,3
47,82,4
48,77,1
48,78,2
48,65,3
49,32,1
49,14,2
49,123,3
49,35,4
50,168,1
50,169,2
50,170,3
50,171,4
50,37,5
51,172,1
51,12,2
51,173,3
51,174,4
51,175,5
52,176,1
52,30,2
52,177,3
52,178,4
52,34,5
53,179,1
53,180,2
53,46,3
53,181,4
53,182,5
54,43,1
54,45,2
54,183,3
54,138,4
55,184,1
55,185,2
55,186,3
55,174,4
55,187,5
56,159,1
56,188,2
56,173,3
56,189,4
56,190,5
57,191,1
57,192,2
57,193,3
57,194,4
57,183,5
58,195,1
58,196,2
58,197,3
58,198,4
59,199,1
59,200,2
60,201,1
60,202,2
60,203,3
60,204,4
60,205,5
60,206,6
61,207,1
61,208,2
61,209,3
61,210,4
61,211,5
61,175,6
62,212,1
62,213,2
62,214,3
62,215,4
62,216,5
63,176,1
63,217,2
63,218,3
63,178,4
63,219,5
63,220,6
64,221,1
64,180,2
64,222,3
64,223,4
64,164,5
64,182,6
65,224,1
65,169,2
65,225,3
65,226,4
65,181,5
65,227,6
66,228,1
66,229,2
66,171,3
66,230,4
67,231,1
67,232,2
67,233,3
67,156,4
67,234,5
67,235,6
68,154,1
68,236,2
68,237,3
68,238,4
68,239,5
68,240,6
69,241,1
69,155,2
69,242,3
69,243,4
69,244,5
69,245,6
70,161,1
70,246,2
70,247,3
70,248,4
70,249,5
70,250,6
71,251,1
71,179,2
71,252,3
71,253,4
71,254,5
71,255,6
72,256,1
72,257,2
72,170,3
72,258,4
72,259,5
73,260,1
73,158,2
74,261,1
74,262,2
74,263,3
74,264,4
75,265,1
75,266,2
75,267,3
75,268,4
75,269,5
76,270,1
76,162,2
76,271,3
76,272,4
76,273,5
77,274,1
77,275,2
77,276,3
77,277,4
78,278,1
78,279,2
78,280,3
78,165,4
78,281,5
79,68,1
79,177,2
79,66,3
79,70,4
79,82,5
80,282,1
80,99,2
80,100,3
80,93,1
81,283,1
81,284,2
82,285,1
82,286,2
82,287,3
82,288,4
201,83,1
201,88,2
202,89,1
202,97,2
202,289,3
202,92,4
202,290,5
203,94,1
203,95,2
226,18,1
226,12,2
226,193,3
227,218,1
227,274,2
227,164,3
228,173,1
228,21,2
229,212,1
229,159,2
229,197,3
229,260,4
229,187,5
230,193,1
231,197,1
231,274,1
252,260,1
252,272,1
252,274,2
252,252,3
252,210,4
253,254,1
253,276,2
254,193,1
254,194,2
255,89,1
255,110,2
255,111,3
255,114,4
256,289,1
256,92,2
256,290,3
256,88,4
257,94,1
257,95,2
258,85,1
258,291,2
258,84,3
288,282,1
288,99,2
288,289,3
289,135,1
289,292,1
290,290,1
290,87,2
291,150,1
291,147,2
291,293,3
291,136,4
291,139,5
291,148,6
292,294,1
293,295,1
293,296,2
293,297,3
293,298,4
293,299,5
294,300,1
294,301,2
294,302,3
294,303,1
295,304,1
295,305,1
296,306,1
303,68,1
303,177,2
303,79,3
303,80,4
303,66,5
303,82,6
304,102,1
304,113,2
304,93,1
305,282,1
306,139,1
307,113,1
307,307,1
308,308,1
309,309,1
309,310,2
309,311,3
310,312,1
310,313,2
310,314,3
310,315,4
310,316,5
311,317,1
311,318,2
311,319,3
311,320,4
312,321,1
312,322,2
312,323,3
312,324,4
313,325,1
313,326,2
313,327,3
313,328,4
313,329,5
314,330,1
314,331,2
314,332,3
314,333,4
314,334,5
315,147,1
315,136,2
315,139,3
315,148,4
316,294,1
317,292,1
317,289,2
318,335,1
318,336,1
319,22,1
319,177,2
319,117,3
319,82,4
319,41,5
320,74,1
320,68,2
320,78,3
320,46,4
320,66,5
321,144,1
321,294,2
321,145,3
322,73,1
322,88,1
323,151,1
323,147,2
323,136,3
323,139,4
323,337,5
323,148,6
323,153,7
324,282,1
324,99,2
325,102,1
325,113,2
325,94,1
325,131,2
325,71,3
325,76,4
325,93,5
325,95,6
326,130,1
326,338,2
326,45,3
326,30,4
326,134,5
326,64,6
326,65,7
326,339,8
327,236,1
327,340,2
327,312,3
327,8,4
327,277,5
327,315,6
328,207,1
328,160,2
328,172,3
328,210,4
328,249,5
329,218,1
329,11,2
329,193,3
329,14,4
329,255,5
330,197,1
330,170,2
330,17,3
330,254,4
330,165,5
331,29,1
331,24,2
331,32,3
331,80,4
331,36,5
331,35,6
332,42,1
332,16,2
332,78,3
332,79,4
332,41,5
333,90,1
333,126,1
333,65,2
333,121,3
333,123,4
334,150,1
335,135,1
335,166,2
